,index,2022-01-31 00:00:00,quintile
0,MMM,-0.12715892679309337,0
1,AXP,0.2665385325892595,4
2,AMGN,-0.0693147717441952,0
3,AAPL,0.4645127530495812,4
4,BA,-0.20542831690061159,0
5,CAT,-0.11757853442237565,0
6,CVX,0.2865765150960198,4
7,CSCO,0.10443079931592858,2
8,KO,0.17429747423958686,3
9,DOW,-0.044413919299615356,1
10,GS,0.08278146440115197,2
11,HD,0.22142044701514108,4
12,HON,-0.050586350364411725,1
13,IBM,0.0748862213410384,2
14,INTC,-0.21932407863837144,0
15,JNJ,0.06379844187452144,2
16,JPM,-0.015088902867359533,1
17,MCD,0.17240414357462308,3
18,MRK,0.13982946683161734,3
19,MSFT,0.349433460750185,4
20,NKE,0.11982496545157595,3
21,PG,0.2136010874444818,3
22,CRM,0.10776192801339324,3
23,TRV,0.09727214278595686,2
24,UNH,0.27829004457854056,4
25,VZ,-0.04904364654702564,1
26,V,0.07223483770551842,2
27,WMT,0.042012295756294504,1
28,WBA,-0.034115726864422546,1
29,DIS,-0.22939685139125265,0
